,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Gonzaga,120,88.1,0.972,29–1,29,30,58.1,41.5,38,26.6,16,18,30.6,26,71.3,58.5,40.4,38.2,29.3,10.7,6.7,53.9,44.1,33.7,32,71.7,78.513,82.62,1.78,"2,017",1.76,1.65,68.782,,73,65.6,1.197,0.863,18.755,Gonzaga
2,Virginia,113.9,85.6,0.964,21–9,21,30,53,45.2,25.5,32.8,15.6,21.4,28.6,24.1,60.2,50.4,44.2,38.9,31.1,14.4,7.6,57,51.2,32.8,39,60.2,77.405,79.894,1.562,"2,017",-0.39,-0.114,71.089,,70.6,70.2,1.089,0.897,35.654,Virginia
3,Villanova,122.3,92.4,0.962,28–3,28,31,57.7,48,35,22.4,17,19.9,29.7,27.4,65.9,59.6,48.8,36.8,31.1,9.1,6.1,53,59.4,43.9,40.6,66,77.636,79.413,1.845,"2,017",-1.57,-2.35,75.837,,79.8,72.6,1.177,0.958,30.422,Villanova
4,West Virginia,117.3,90,0.955,24–7,24,31,52.2,48.8,38.9,43.3,16.8,28.8,38.3,33,72.1,51.3,46.1,36,35.6,13.6,8.7,57.8,54.9,32.6,36.4,73.1,77.619,80.701,1.953,"2,017",-0.13,0.464,43.642,,68.7,68.5,1.141,0.909,31.653,West Virginia
5,Florida,116.2,89.2,0.954,24–7,24,31,52,45.4,40.9,34,16.8,21.3,32.4,29.7,70.8,50.3,45.5,36.6,30.2,12.1,7.9,47.9,40.3,36.2,31,70.5,77.266,80.777,1.974,"2,017",1.03,1.464,70.37,,72.7,70.5,1.109,0.934,33.568,Florida
6,Kentucky,119.3,91.7,0.954,26–5,26,31,53.4,47.7,40.2,34.4,15.8,19.5,34.2,27.1,75.2,53.8,48.2,35.1,31.2,13.2,7.1,52.4,43.3,31.9,33.2,74.8,77.433,81.549,0.935,"2,017",0.69,0.629,86.539,,70,66.9,1.149,0.955,30.74,Kentucky
7,Louisville,116.1,89.6,0.952,24–7,24,31,51.4,44.9,34.5,39.3,16.2,20.1,36.6,28.9,68.8,49.8,44.3,36.5,30.6,15.3,7.9,48.6,48.8,32.3,35.8,69.6,78.3,82.032,1.588,"2,017",-1.04,-1.371,71.596,,68.9,69,1.118,0.943,34.885,Louisville
8,North Carolina,120.5,93.1,0.951,25–6,25,31,52.4,48.5,33.4,30.3,16.5,18.7,42,25.1,72.3,51.1,46.8,37,34,9.2,9.9,58.1,47.6,30,39.6,72.8,77.937,81.405,1.917,"2,017",3.02,2.65,88.126,,70.1,71.1,1.165,0.975,34.342,North Carolina
9,Kansas,120.6,94.3,0.944,28–3,28,31,55.9,47.7,36.5,30.7,18.1,18.6,34.6,30.4,71.2,53.1,44.7,40.8,35.7,11.3,9.7,54.9,50.1,34.9,33.7,71.3,77.174,80.91,1.763,"2,017",0.25,-0.35,75.629,,66,70.9,1.147,0.998,35.857,Kansas
10,Duke,120.4,94.7,0.941,23–8,23,31,54.5,47.7,38.3,30.8,16.4,17.7,32.5,28.5,69.7,53.4,48.4,37.6,30.6,10.5,6.9,48.7,45.5,38.4,27.8,69.5,78.431,80.697,1.414,"2,017",-1.01,-1.371,94.782,,75.4,69.2,1.155,0.992,34.912,Duke
11,SMU,117.5,93.1,0.936,27–4,27,31,54.3,45.7,35.7,24.3,16.8,18.6,38.3,25.7,63.9,50.8,43.7,40.3,32.1,11.3,8.8,62.9,57.5,36.2,45.2,64.9,78.474,79.495,1.875,"2,017",-1.59,-1.079,64.748,,69.2,68.2,1.167,0.93,21.032,SMU
12,Purdue,116.5,92.5,0.934,25–6,25,31,55.8,46.7,34.7,22.2,18.4,16.9,31.1,24.4,70.3,52.7,45.6,40.6,32.6,6.1,8.9,65,49.9,38.3,32.9,70.5,76.997,81.841,1.555,"2,017",0.48,0.464,67.524,,77,70.9,1.136,0.945,28.581,Purdue
13,Baylor,115.8,92,0.934,24–6,24,30,52.7,44.9,34.6,29.6,20.7,16.9,39.7,29.8,64.9,52.7,43.9,35.2,31.2,13.3,9.7,59.7,58.4,34,34.5,64.9,77.785,82.109,1.908,"2,017",0.28,0.136,43.215,,71.6,72.7,1.107,0.967,36.768,Baylor
14,Saint Mary's,118.3,94.3,0.931,26–3,26,29,57.7,45.4,27.7,25.6,17.3,15.5,34.1,21.2,60.5,56.9,45.5,39.2,30,8.5,7,64,42.2,41.6,28.8,60.7,77.576,81.393,1.957,"2,017",-0.46,0.093,24.566,,75,67,1.189,0.926,16.536,Saint Mary's
15,Cincinnati,112.6,89.8,0.931,27–4,27,31,52.3,44.1,31.1,28.9,15.6,21.2,35.6,29.6,65.7,52.4,40.6,34.7,33.4,15.5,7.8,60.4,52.9,36.3,36.9,65.9,77.674,80.505,1.72,"2,017",-0.1,-0.079,72.275,,66.9,73.4,1.127,0.908,21.886,Cincinnati
16,Wichita St.,116.8,93.5,0.928,26–4,26,30,55.4,44.3,38.9,35.6,16,19.9,33.7,23.8,69.8,52.4,42.3,40.4,31.7,11.1,8.1,60.4,49.8,37,38.5,70.6,77.722,80.469,1.45,"2,017",-0.52,0.379,40.472,,72.6,70.7,1.181,0.905,16.83,Wichita St.
17,Oregon,115.7,93.3,0.922,26–4,26,30,56,45.7,33.8,25.8,17.5,20.5,32.6,30.7,68.9,55.1,45.7,38.3,30.5,18.1,9.8,60,48.6,39.5,37.1,68.5,77.427,81.033,1.779,"2,017",1.89,2.136,56.758,,70.1,71.4,1.138,0.94,22.887,Oregon
18,Oklahoma St.,125.2,101.1,0.921,19–11,19,30,54.2,52.4,38.4,45.5,18.7,20.9,38,32.5,72.6,50.5,52.4,40.4,34.8,8.1,10.6,51.6,50.4,36.4,34,73,76.346,80.027,1.534,"2,017",-0.92,-0.621,54.425,,78.6,72.2,1.173,1.066,38.058,Oklahoma St.
19,Florida St.,116.8,94.5,0.92,24–7,24,31,54.3,47.1,38.1,37.5,16.1,20,33.7,31.3,72.5,54.3,45,36.1,33.9,13.6,7.4,49.9,47.3,31.7,35.4,72.7,79.168,82.425,1.262,"2,017",-0.66,-0.864,70.581,,68.9,71.2,1.146,0.982,31.535,Florida St.
20,UCLA,122.6,99.6,0.916,28–3,28,31,60.4,48.2,26.6,24.6,15.3,16.3,29.6,28.4,74.8,59.3,45,41.5,35.9,12.6,4.4,63.5,46.7,37.5,35.9,75.3,78.441,82.349,1.438,"2,017",0.11,0.136,77.967,,73.6,67.4,1.221,1.003,22.785,UCLA
21,Wisconsin,113,91.8,0.916,23–8,23,31,51.6,47,33.2,27.2,16.8,20.1,35.6,25.4,64.9,51.2,42.2,34.9,37.8,10.2,8.5,51.8,46.6,36.5,33,64.6,77.532,80.762,2.056,"2,017",0.82,1.3,56.744,,64.4,73.8,1.101,0.937,30.103,Wisconsin
22,Notre Dame,118.6,96.8,0.912,23–8,23,31,54.1,48.4,28.1,26.8,14.1,18.6,27.6,31,68.1,51.1,47.3,38.9,33.6,10.1,11.6,59,51.7,40.9,34.9,68.6,77.4,79.623,2.068,"2,017",-0.02,-0.114,65.922,,80.9,73.9,1.149,1.013,31.564,Notre Dame
23,Arizona,115.2,94.1,0.911,27–4,27,31,52.9,47.3,39.8,27.4,17.1,18.2,34,26.5,66.9,50.4,47.5,39,31.3,8.9,7.4,53.1,54.1,30.4,36.2,66.7,78.741,83.44,1.133,"2,017",0.02,-0.371,71.921,,76.5,66.4,1.125,0.961,23.807,Arizona
24,Michigan,120.8,98.8,0.91,20–11,20,31,56.7,52,30.8,28.7,14.7,20,25.9,29.1,63.7,55.7,50,38.6,37.9,7.5,8.2,53,45.6,45.3,29,63.9,78.154,81.791,2.007,"2,017",1.03,1.093,64.639,,77.1,68.3,1.163,1.023,30.16,Michigan
25,Creighton,116.7,95.9,0.905,22–8,22,30,58.4,49.8,27.8,28,16.8,19.2,24.4,30.1,72.8,57.1,49.5,40.6,33.5,7.7,7.3,56.7,47.9,35.6,36.3,72.7,77.288,81.778,1.718,"2,017",-0.91,-1.079,45.608,,68.9,67.8,1.138,1.004,28.043,Creighton
26,Iowa St.,116.5,95.9,0.904,20–10,20,30,54,49,27,25.8,14.1,20.7,26.3,32.1,70.8,50.3,47,39.9,35.1,8.6,8.9,54.3,51.3,39.4,35.8,69.8,76.814,78.437,2.508,"2,017",-0.53,-0.114,54.193,,69.8,70.5,1.114,0.996,37.657,Iowa St.
27,Butler,118.1,97.3,0.903,23–7,23,30,54.8,50.6,36.3,37,15,19.9,28.2,27.7,67.1,54.5,50.9,36.8,33.4,8.4,7.9,49.4,42.8,37.4,37.7,67.1,76.445,79.729,2.01,"2,017",0.3,0.464,48.146,,74.1,70.1,1.137,1.014,32.259,Butler
28,Miami FL,110.9,92.1,0.894,20–10,20,30,51.5,46.7,34.8,28.6,19.6,18.3,34,28.1,65.2,50.1,45.3,36.2,32.8,10.8,8.3,48.1,50.6,32.1,34.4,65.1,78.107,80.679,1.45,"2,017",-0.67,-0.7,74.813,,72,72.7,1.073,0.97,32.62,Miami FL
29,Marquette,121.5,101.3,0.89,19–11,19,30,57.8,52,31.2,35.9,17.2,18.6,27.5,28.7,71.1,53.1,50.4,43,36.8,9.4,10.4,57.9,60.1,40.8,34.5,71.5,76.594,80.145,1.671,"2,017",-0.6,-0.621,76.631,,77.6,68.8,1.16,1.048,30.514,Marquette
30,South Carolina,105.3,87.9,0.889,21–9,21,30,46.9,44.8,39.7,46.9,19.1,24.6,34.3,31.5,69.8,45,45.1,33.7,29.5,10.7,9.5,51.9,44.3,33.7,34,69.8,77.096,80.611,1.537,"2,017",2.94,3.093,50.958,,69.7,71.1,1.013,0.907,27.325,South Carolina
31,Wake Forest,120.9,101.1,0.887,18–12,18,30,53.7,52.1,39.1,36.2,16.6,16.3,31.2,27.3,71.6,51.8,51.3,38.3,35.6,10.5,9.9,55.9,52.9,35,39.2,72,77.249,81.314,1.395,"2,017",0,0,47.009,,77,72.2,1.147,1.078,35.074,Wake Forest
32,Kansas St.,111.3,93.7,0.879,19–12,19,31,52.5,49.4,40.2,32.7,19.3,22.6,30.1,31.9,68.1,51.3,45.1,36.3,38.5,9.9,9.5,60.8,55.3,36.3,33.4,67.7,77.426,80.959,1.595,"2,017",-0.62,-0.607,45.961,,69.4,72.5,1.059,0.987,32.665,Kansas St.
33,Minnesota,107.8,91.5,0.868,23–8,23,31,48.7,44.7,40.1,28.2,16.2,17.8,29.6,29.9,70.8,47.2,43.9,34.8,30.8,16.4,8.8,58.1,53.3,30.2,32.8,71.1,78.278,81.148,1.272,"2,017",-0.86,-1.114,59.566,,70.3,67.7,1.043,0.951,27.215,Minnesota
34,Vanderbilt,113.5,96.5,0.866,17–14,17,31,52.9,48.4,35.4,32,18.6,15.9,25.4,27.4,67.4,49,46.8,38,34.4,9.8,10.7,56.2,47.5,48.4,33.5,67.2,78.27,81.583,1.834,"2,017",-0.66,-0.6,53.364,,77,70,1.065,1.024,32.298,Vanderbilt
35,Xavier,114.6,97.5,0.865,19–12,19,31,51.4,51.8,41.8,34.7,18.5,17.7,35.4,24.7,68.7,51.5,52.9,34.1,33.5,7.9,10.8,58.1,55.8,36.3,39.7,69.1,78.488,80.22,1.708,"2,017",2.04,2.393,61.847,,68.8,70.2,1.088,1.042,32.103,Xavier
