,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Villanova,133.8,91,0.988,9–0,9,9,58.8,45.8,31.5,30.2,16.9,16.6,34.8,27.4,67,54.2,47.5,42.1,28.7,11.2,9.2,51.8,46.4,51,38.5,67.9,77.329,79.488,1.313,"2,018",2.467,2.65,80.592,,81.4,76.6,1.246,0.985,44.575,Villanova
2,Michigan,114.3,85.5,0.966,9–1,9,10,51.8,44.1,38.8,29.5,13.7,18.3,23.2,27.4,66.4,55.8,45.5,30.9,27.3,6.7,9.3,47,38.3,42.1,32,66.4,77.771,81.526,1.626,"2,018",2.847,3.136,56.368,,66.5,75.1,1.067,0.939,45.893,Michigan
3,Kentucky,123.9,94.3,0.959,5–1,5,6,55.8,43.5,49.7,33,16.1,15.6,32.1,33.3,65.3,54,40,40.5,31.9,11.3,7.5,48.7,44.2,27.1,45.1,66.6,78.862,81.523,0.189,"2,018",0.638,0.886,95.962,,71.4,71.8,1.164,1.003,36.717,Kentucky
4,Duke,122,94,0.953,4–2,4,6,55,48.4,31.1,22.3,17.2,18.4,35.2,35.1,68.2,58.1,50.8,33.6,29.5,7.9,5.1,59.4,68.3,40.2,36.5,68.6,79.097,82.429,0.688,"2,018",-0.094,0.629,92.943,,74.3,63.5,1.155,1.012,38.769,Duke
5,Clemson,120,92.5,0.952,3–2,3,5,52.5,46.4,32.4,30,13.6,13.6,26.5,24.7,69.3,53,44.1,34.5,33.1,11.3,6.6,46.3,55.4,38.2,42.3,70,77.357,80.314,2.022,"2,018",0.448,0.886,54.866,,79.2,67.4,1.116,1.001,46.202,Clemson
6,Kansas,124.6,96.2,0.951,7–1,7,8,56.9,50.8,29,21.5,16.8,17,30.1,30.5,69.4,53.1,51.3,41.7,33.3,7.7,9,51.9,47.3,40,39.3,69.4,77.704,80.921,1.783,"2,018",1.779,0.65,80.44,,74.1,70,1.15,1.056,50.837,Kansas
7,Houston,115.5,89.7,0.948,3–2,3,5,47.3,43.2,38.9,43.8,13.3,16.6,24.7,28.6,66.3,44.8,42.5,35.2,29.6,8,9.4,37.6,51.5,31.4,36,68.1,75.56,78.497,2.125,"2,018",-0.175,-0.079,24.411,,74.3,67.2,1.043,0.95,44.476,Houston
8,West Virginia,121.4,94.7,0.946,4–2,4,6,50.5,55,33,38.8,17.2,22,36.8,27.9,69.7,47.1,47.3,38,43.7,17.6,11.5,54.9,61.4,34.6,42.6,69.5,77.304,80.45,1.669,"2,018",0.262,0.886,38.54,,76.4,72.4,1.126,1.047,46.036,West Virginia
9,San Diego St.,108.8,85.3,0.943,3–1,3,4,50,43.8,56.5,29.6,17.5,15,28.7,23,71.5,52.3,44.2,29.9,28.8,9.2,6.7,49,42.1,31,32.9,70.9,78.323,82.17,1.608,"2,018",-0.514,-0.607,61.723,,69.7,75,1.052,0.933,33.601,San Diego St.
10,Tennessee,119.9,94.9,0.936,3–2,3,5,50,46.7,31.5,36.3,17.8,18.7,40.5,30.7,62.9,46.4,45.8,37.4,32.3,12,10.6,56.1,41.5,37.4,35.9,63.3,76.811,79.896,1.393,"2,018",-0.983,-0.864,47.881,,74.4,74.5,1.122,0.991,34.682,Tennessee
11,North Carolina,116.6,93.2,0.929,4–2,4,6,46.9,46,28,29.9,15.3,16.3,31.6,25.8,70.6,47.9,42.7,30.1,34.3,7,12.5,71.7,53.1,37.8,37.1,71.7,77.462,80.482,1.844,"2,018",-1.273,-1.371,77.447,,77.8,77.8,1.052,0.982,45.745,North Carolina
12,Texas Tech,113.9,91.2,0.928,4–2,4,6,49,45.7,33,34.9,15.5,17.5,31.1,29.4,65.7,47.3,43.2,35.4,33.6,11.7,12.3,54,40.7,28.9,34.3,65.7,77.621,79.516,1.786,"2,018",1.038,1.136,36.705,,68.1,74.6,1.045,1.007,53.445,Texas Tech
13,Loyola Chicago,111.2,89.3,0.926,7–1,7,8,54.5,45.6,26.9,20.8,18.4,16.2,20.8,25.2,62.5,55.4,48.6,35.3,27.3,5.8,10.8,62,47,37.4,38.4,64.5,76.466,78.499,1.803,"2,018",3.219,3.393,16.801,,69.4,72,1.024,0.952,35.348,Loyola Chicago
14,Florida St.,108.5,87.7,0.92,3–2,3,5,48,46.8,42.3,42.4,19.3,19.6,27.4,29.1,68.3,45.8,44.8,34.7,33.7,21.3,12.3,54.8,44.5,34.7,35.3,68.7,78.496,81.2,1.607,"2,018",2.032,2.4,59.86,,70.7,63.2,1.01,0.948,50.103,Florida St.
15,Seton Hall,126.2,102.1,0.92,1–2,1,3,54,55,42,37.8,16.8,12.9,36.9,27.5,69.6,49.6,58.3,41.3,33.8,5.8,3.5,42.7,48.8,35.8,42.8,68.4,78.034,80.957,2.043,"2,018",-0.013,0.3,61.137,,77,63.2,1.183,1.155,49.259,Seton Hall
16,Georgia St.,115.6,93.7,0.918,3–1,3,4,53.6,40.3,28.9,44.2,17.8,18.2,25.6,37.4,63.1,51.6,47.3,37.6,21.9,10.7,7.9,44.3,47.4,40.3,48.4,62.7,76.699,78.473,1.916,"2,018",-0.114,-0.064,31.565,,77,75,1.082,0.979,24.399,Georgia St.
17,Xavier,117.1,95,0.917,2–2,2,4,52.5,45.9,45,34.2,16.2,14.5,29.9,20.1,71.9,50.6,49.7,37.5,26.6,11.4,8.1,54.1,38.4,33.3,38.7,70.2,78.483,80.776,1.844,"2,018",-1.105,-2.35,76.28,,74.1,84.3,1.122,0.99,29.723,Xavier
18,Davidson,126.2,102.4,0.917,3–1,3,4,57.1,50.7,27.8,34.3,12.5,16.5,19.8,29.6,62,50.5,51.1,42.7,33.3,5.2,10.1,62.6,51.1,48.6,35.7,62.5,78.13,80.757,1.744,"2,018",-0.55,-0.514,20.885,,83.1,72.2,1.173,1.068,29.267,Davidson
19,Gonzaga,115,93.4,0.916,5–1,5,6,55.8,46.6,35.7,22,16.6,16.1,28.9,23.1,70.2,53.5,45.7,39.6,32.3,7,9.9,43.7,43.8,38.6,34.9,71.1,78.446,81.272,1.51,"2,018",0.278,0.464,73.63,,61.3,70.7,1.099,0.963,26.208,Gonzaga
20,Virginia,119.2,97.6,0.909,3–1,3,4,51.3,50.8,20,34.9,10.8,17.4,25.4,23.1,60.3,52,45,33.3,37.9,6,3.3,47.6,61.7,33.3,48.7,60,77.508,80.13,1.72,"2,018",-3.177,-3.35,71.072,,73.3,80.9,1.094,1.048,38.658,Virginia
21,Florida,113,93.7,0.896,1–2,1,3,48.7,47.7,25,42.1,14,15.5,25.4,31.4,68.9,47.1,47.5,33.7,32.1,15.3,8.8,55.8,47.9,45.7,31,68.7,76.89,80.092,1.885,"2,018",-0.246,-0.079,69.428,,68.1,66.7,1.04,1.02,39.258,Florida
22,Butler,119.8,99.9,0.89,2–2,2,4,55,53.4,23.6,34.5,15.3,15.7,26.8,29.9,65.3,59.1,48.1,32.6,40.4,5.4,8,45.9,52,40.2,42.2,64.7,76.655,79.774,1.614,"2,018",-0.077,0.379,52.743,,79.6,79.2,1.13,1.145,57.974,Butler
23,Purdue,124.4,103.8,0.889,4–2,4,6,55.7,49.3,34.3,32.1,17.2,14.9,29.6,30,64.9,51,50.2,41.7,31.6,7,9.9,44.4,46.4,40.7,33.2,66.1,77.695,82.87,2.106,"2,018",-0.101,-0.371,59.458,,72.1,73.6,1.132,1.076,40.965,Purdue
24,Providence,108.6,90.9,0.886,2–2,2,4,44.4,48.1,31,31.3,12.4,16.7,25,30.7,64.5,48.8,49.7,23.8,30.2,7,13.7,52.9,50,33.3,35.4,63,77.674,80.31,1.894,"2,018",-0.516,-0.621,60.949,,74.4,72.4,1.002,1.026,55.988,Providence
25,Syracuse,104.7,87.7,0.885,4–2,4,6,45.2,42.7,42.4,32.7,20.3,18.1,33,38.1,62.5,46.4,48.1,28.4,24.4,14.2,8.6,41.9,73.2,31.3,46.6,61.2,80.1,82.622,0.961,"2,018",1.415,1.393,81.271,,72.9,70.5,0.985,0.993,48.252,Syracuse
26,Cincinnati,109,91.5,0.882,4–1,4,5,45.7,45.7,32.1,19.4,13.7,14.4,38,25,61.2,48.9,45.9,26.5,30.3,11.8,4.8,58.8,41.4,35.2,39.1,62.4,77.445,80.66,1.731,"2,018",-1.623,-1.371,63.963,,67.7,72.2,1.072,0.961,28.43,Cincinnati
27,Ohio St.,118.4,99.7,0.878,1–2,1,3,50,51.7,23.4,36.3,13.7,16.5,29.3,33,70.6,48.1,43,34.8,43.1,10.3,8.3,51.8,48.1,45.2,40.2,69.7,76.726,79.628,1.815,"2,018",-0.644,-0.114,59.776,,78.3,72.3,1.1,1.095,46.743,Ohio St.
28,Buffalo,116.4,98.6,0.871,4–1,4,5,53,46.6,23.7,32.6,13.2,16.6,35.3,34,69.7,50.5,50,38,26.9,11.4,11.5,45.3,40.8,39.2,34.8,70,76.586,80.17,1.751,"2,018",0.588,0.75,10.891,,74.4,74.3,1.168,1.044,24.191,Buffalo
29,Stephen F. Austin,106,90.5,0.86,3–1,3,4,48.9,45.4,43.8,45.6,20,21.8,33.8,23.4,68.8,46.7,43.1,35.8,32.9,15.4,9.2,52.6,63,30.6,36.9,67.2,76.338,79.136,1.934,"2,018",-0.15,-0.164,16.014,,71.9,72.3,1.029,0.927,19.255,Stephen F. Austin
30,Murray St.,109.3,93.7,0.855,2–1,2,3,49.4,47.8,33.5,22.3,17.7,16.7,32.1,27.3,65.9,47.9,51.6,34.2,25.5,7,13.8,50,49.4,43.7,28.5,66.5,76.282,79.963,1.887,"2,018",-0.269,-0.514,0.2,,73.2,70,1.041,1.006,31.518,Murray St.
31,South Dakota St.,110.7,95.2,0.85,3–1,3,4,50,44.7,33.3,26.5,11.9,13,21.1,20.9,73.3,45,45,37.5,29.6,4,11.4,38.1,37.4,44.4,42,73.6,76.865,80.096,2.117,"2,018",-0.28,-0.514,2.923,,73.8,80.9,1.071,0.972,22.703,South Dakota St.
32,UMBC,104.3,90.3,0.84,4–1,4,5,54.1,47.4,32.8,39.6,17.6,19.7,22.3,18.1,66.9,51.6,50.3,38.1,28.4,7.1,5.2,54.8,41.9,43.5,38,69.9,75.848,79.973,1.951,"2,018",0.959,0.993,10.296,,59.6,66.7,1.034,0.905,29.692,UMBC
33,Michigan St.,115.1,99.8,0.838,2–2,2,4,44.7,49,24.3,48.8,17.1,13.9,41.4,22.5,62.8,48,44.3,26.3,38.6,12.2,7.4,54.2,44.7,39.1,34.8,65.5,77.332,80.792,1.323,"2,018",-1.104,-0.864,84.499,,76.3,72.4,1.043,1.067,35.802,Michigan St.
34,Bucknell,117.5,101.9,0.837,3–1,3,4,59.3,46.7,46.2,29.1,15.2,15.6,25.4,31.8,69,56.8,47.2,41.7,30.3,10.7,12,57.7,48.1,43.4,27,69.9,77.029,80.645,1.977,"2,018",-0.151,-0.164,0.2,,70.6,63.4,1.21,0.989,17.181,Bucknell
35,Marshall,115.5,100.2,0.837,4–1,4,5,52.6,49.4,38.9,29.9,15.4,17.7,26.3,37.9,71.4,44.8,49.2,41.5,33.1,9.1,6.7,59.1,52.2,44.4,38.6,70.7,76.631,80.007,1.443,"2,018",0.744,0.75,2.18,,79.8,77.1,1.118,1.096,30.502,Marshall
36,Penn,106.8,92.7,0.836,2–1,2,3,54,44.7,28.2,23.3,17.1,12.2,15.5,17.5,68.3,52.1,43.3,37.7,31.7,5.8,12.8,53.3,32.4,42.3,33.3,68.7,76.057,79.138,1.833,"2,018",-0.113,-0.007,14.406,,69.6,88.1,1.015,0.966,24.807,Penn
37,Arizona,113.3,98.5,0.833,3–1,3,4,50.2,53,32.7,20.9,13.5,14.9,34.4,19.1,66.7,55.4,55,26,33.7,9.2,4.2,43.4,44.9,31.4,44.3,65.4,78.636,83.38,1.51,"2,018",-1.15,-1.536,82.727,,72.5,71.4,1.107,1.034,28.032,Arizona
38,Kansas St.,98.9,86.5,0.824,4–2,4,6,46.1,49.2,32.4,34.3,17.1,21.5,21.5,26.8,66.1,48,47.6,28,34.4,9.6,7.2,46.7,53,32.4,41.2,65.9,77.082,80.352,1.344,"2,018",2.416,2.4,47.73,,66.4,66.1,0.928,0.952,41.718,Kansas St.
39,Texas A&M,113.2,99.4,0.817,2–2,2,4,52.3,51.5,32.5,16.4,20.4,11.4,32.9,17.9,72.2,53.3,51.7,33.3,34.1,16.7,1.8,43.4,55,31.3,33.6,72.5,78.789,81.914,1.551,"2,018",1.016,1.093,82.201,,64.1,79.1,1.042,1.053,45.482,Texas A&M
40,Alabama,113.8,100.2,0.812,3–2,3,5,53.2,53.9,41.6,37.9,21,17.8,30.8,30.2,68.6,54,48.7,34.4,40,7.9,13.8,49.2,51.6,34.8,46.1,67.2,78.097,80.946,0.744,"2,018",0.483,0.4,73.914,,67.6,73.8,1.047,1.117,50.399,Alabama
41,Miami FL,107.2,94.6,0.808,0–2,0,2,47.1,49.2,21.8,25.4,17.9,13.4,28,32.1,67.1,45.1,51.3,35.7,30.4,16.3,12.1,43.1,69.1,23.5,36.5,66.9,77.114,81.181,1.249,"2,018",-0.757,-1.079,81.652,,57.7,68.8,0.946,1.087,47.33,Miami FL
42,Virginia Tech,120.2,106.2,0.806,0–2,0,2,55.7,57.3,25.4,50.5,17.7,20.6,27.4,33.9,67.9,57.6,57.1,35.4,38.3,3.6,7.6,52.7,64,42.1,45.6,69,76.79,78.86,1.785,"2,018",-0.72,-0.7,75.538,,72.4,75,1.09,1.157,33.182,Virginia Tech
43,UCLA,105.7,94,0.794,1–2,1,3,50.8,47.5,18.2,35,16.8,12.1,22,22.5,69,49.5,48.3,34.8,30.8,6.8,5.3,49.4,33.8,49.2,35.5,68.1,78.806,83.033,1.437,"2,018",0,0,78.711,,67.6,71.9,0.992,1.024,28.883,UCLA
44,Texas,114.8,102.5,0.786,1–2,1,3,50.3,57,26.2,27.3,12.9,16.8,31.6,26,64.5,48.2,53.2,35.6,42.6,8.1,11.4,44.4,55.3,39,35.5,64.5,77.743,81.515,0.957,"2,018",-0.672,-0.621,74.625,,65.3,59.6,1.09,1.11,38.153,Texas
45,Wichita St.,118.4,106,0.781,1–2,1,3,50,54.8,46.9,44,18.3,13.1,37.1,19.4,71,50.5,48.5,32.9,43.1,2.9,8.6,60.5,41,40,38.7,69.3,77.803,80.401,2.303,"2,018",-1.236,-1.536,38.199,,76.8,74.3,1.117,1.122,30.414,Wichita St.
46,Lipscomb,110.4,99,0.778,3–1,3,4,56,52.3,37.8,35.3,17.4,23.5,20,30.6,77.6,56.7,51.5,36.8,35.5,8.2,8.7,69.3,49.5,47.3,44.4,75.4,77.268,79.89,1.601,"2,018",-0.075,-0.064,5.68,,76.9,74.1,1.096,1.015,20.41,Lipscomb
47,TCU,101.9,91.4,0.777,0–2,0,2,48,44.2,30.4,28.3,20.9,14,21.2,25.4,60.7,50,48.8,29.4,20.7,7.1,13.2,63.6,42.6,33.3,25.7,64.7,78.077,81.049,2.036,"2,018",-0.913,-1.079,29.047,,58.1,71.9,0.899,0.954,37.814,TCU
48,Arkansas,117.6,106.2,0.764,2–2,2,4,46.7,55.5,47.7,27.2,14.1,19.8,27.9,35.1,65.6,45,48.4,33.8,43,12.5,8.1,41.6,54.3,30.4,43.9,66.3,77.141,80.622,2.109,"2,018",-0.567,-0.907,39.343,,75.5,74.2,1.055,1.139,46.926,Arkansas
49,UNC Greensboro,96.9,87.7,0.759,3–1,3,4,46.2,41.9,22.9,30.4,18.2,19,34,26.4,64.6,52.2,46,25.5,25,12.4,5.2,37.5,44.9,43.2,47.9,63.1,77.161,80.834,1.785,"2,018",-0.249,-0.25,0.208,,66.7,69.7,0.983,0.882,21.652,UNC Greensboro
