,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Houston,118.247,89.946,0.959,31–3,31,34,52.7,42.5,28.5,35.8,15.3,22,37.1,27.4,64.8,53.2,43.1,34.5,27.8,16.4,6.6,53.8,53.6,37.8,43.7,63.262,76.741,79.506,1.611,"2,023",0,0,68.237,,71.9,69,1.158,0.872,23.554,Houston
2,Alabama,116.978,89.4,0.957,29–5,29,34,52.7,41.5,36.7,32.8,19,16,33.8,27.6,72.8,54.6,41.2,33.8,28.1,11.3,11.4,54.8,41.8,47.8,30.6,72.704,78.11,82.022,1.108,"2,023",0,0,64.325,,72.6,71.4,1.106,0.922,33.885,Alabama
3,UCLA,113.621,88.517,0.946,29–5,29,34,50.9,46.8,27.1,27.6,15.3,23.6,33.7,27.6,67.3,50.4,46.8,34.7,31.1,11.9,6.3,50.9,51.3,29.1,39.3,66.345,76.937,80.221,1.862,"2,023",0,0,83.697,,72.2,69.7,1.098,0.896,28.152,UCLA
4,Tennessee,112.37,88.224,0.942,23–10,23,33,50.3,42.4,30.9,34.9,18.1,22.2,36.8,26.9,66.2,51,44.6,32.9,26.2,11.8,8.5,66.2,50.1,40.4,41.6,65.582,77.337,81.747,1.884,"2,023",0,0,59.152,,71.4,72.2,1.08,0.873,28.596,Tennessee
5,Connecticut,119.827,94.111,0.941,25–8,25,33,53.5,45.5,31.4,38.7,18.9,19.4,39.2,26.2,68.6,53.4,45.8,35.7,30,12.9,8.3,62.6,41,42,30.3,66.98,78.292,81.04,1.723,"2,023",0,0,62.721,,75.4,73.6,1.144,0.949,28.345,Connecticut
6,Purdue,119.5,94.255,0.939,29–5,29,34,52.2,47.2,37.2,19.3,17,15.4,38.3,23.3,64.2,54.1,47.4,32.6,31.4,9.7,8.6,60.9,51.5,38.1,35.4,64.077,78.602,83.469,1.233,"2,023",0,0,58.813,,74.3,73.6,1.135,0.974,29.589,Purdue
7,Gonzaga,125.217,99.663,0.932,27–5,27,32,58.5,51.7,34.2,26.7,14.6,18.8,31.1,26,71.5,59,51.2,38.4,35,9,5.6,50.7,45.3,32.8,39.4,70.016,78.049,80.975,2.288,"2,023",0,0,76.84,,70.2,73.5,1.205,1.029,27.359,Gonzaga
8,Texas,115.851,92.348,0.931,26–8,26,34,52.7,47.8,31.5,34.5,16.5,22.8,28.3,29.4,70.3,53.8,47.2,33.9,32.7,10.1,8.3,57.1,48.3,35,35.4,68.797,76.548,79.355,2.206,"2,023",0,0,67.933,,75.2,72.4,1.095,0.948,35.172,Texas
9,Saint Mary's,113.16,90.607,0.928,25–7,25,32,52.5,46.7,31.2,30.3,16.4,19,33.1,21.8,63.6,51,45.6,36.7,32.8,9.9,10.1,48.3,36.6,37,31.8,62.075,78.13,81.167,1.899,"2,023",0,0,32.624,,69.1,75.2,1.103,0.933,23.714,Saint Mary's
10,Arizona,120.493,96.548,0.927,28–6,28,34,56.8,47.2,36.5,26,18.4,16.9,31.1,26.2,72.9,56.6,45.9,38.2,32.8,8.3,9.3,65.3,49.4,38,38.7,72.427,78.47,82.47,1.982,"2,023",0,0,73.32,,70.9,71.4,1.134,0.981,28.609,Arizona
