,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Villanova,123.975,91.962,0.969,35–5,35,40,56.1,46.7,34.1,30,16.3,20.6,28.2,29.4,67.2,57.4,44.1,36.2,33.9,9.7,6.8,58.7,56.3,42.7,37.4,65.757,77.358,80.028,1.709,"2,016",2.7,3.629,81.555,,78.2,66.2,1.157,0.943,34.097,Villanova
2,Kansas,121.6,91.388,0.964,32–5,32,37,55.7,45.1,38.6,37.3,17.8,18.5,32.2,27.9,69.3,52.7,43.4,41.3,32.5,10.5,8.6,54.7,47.5,32.8,32.5,69.241,77.281,80.733,1.863,"2,016",0,-0.35,80.776,,71.3,72.3,1.141,0.961,36.432,Kansas
3,Virginia,120.778,92.138,0.957,29–8,29,37,54.8,48.4,32.1,33.4,15.1,18.8,29.9,25.2,61.5,52.6,46.3,40.3,34.7,10.2,5.9,57.2,47.6,28.3,36.7,60.945,77.777,80.253,1.985,"2,016",-0.1,-0.35,74.302,,75.2,70.2,1.151,0.974,36.242,Virginia
4,North Carolina,124.264,96.075,0.951,33–7,33,40,52.6,48.1,32.3,30.4,15.4,18.2,40.7,30,70.1,53.9,44.6,32.7,36.2,11.5,6.5,57.3,43.7,26.7,35.6,70.777,77.842,81.623,1.854,"2,016",1.9,1.65,90.938,,74.7,69.7,1.182,1,33.598,North Carolina
5,Kentucky,123.868,96.289,0.948,27–9,27,36,53.5,44.5,37.8,40.8,16.2,18,37.5,31.9,68.3,52.9,42.7,36.6,32.6,14.2,7.5,49.8,40.4,31,29.6,67.343,76.716,81.335,0.956,"2,016",-0.8,-0.536,92.397,,69,70.2,1.151,0.986,28.565,Kentucky
6,Michigan St.,123.397,97.067,0.94,29–6,29,35,56.3,43.3,30,34.1,17.6,14.2,37.1,24.3,66.9,51.4,41.7,43.4,31,12.9,8.6,71.3,48.7,35.6,32.5,66.707,77.182,80.048,1.818,"2,016",-2.3,-2.371,59.574,,72.9,71.4,1.183,0.951,26.316,Michigan St.
7,West Virginia,115.668,91.59,0.936,26–9,26,35,49.8,48.4,46.2,55.3,20,25,42,27.1,70.7,50.3,47.7,32.5,33.1,8.5,8.8,54.1,51.1,30.6,36.3,69.996,77.299,80.627,1.724,"2,016",-1.5,-1.864,46.477,,67.3,71.4,1.103,0.937,34.837,West Virginia
8,Oklahoma,119.093,94.496,0.935,29–8,29,37,54.3,47.2,33,28.3,18.3,17.7,31.2,30.5,70.9,48.2,45.3,42.2,33.7,12.6,8.9,52.8,43.1,40.7,35.7,69.928,77.014,80.385,2.158,"2,016",1.8,1.629,57.714,,72.2,67.8,1.112,0.992,37.739,Oklahoma
9,Purdue,118.125,94.358,0.93,26–9,26,35,53.6,44.3,35.4,28.1,17.7,13.7,35,23.4,67.9,52.8,42.9,36.7,31.4,11.7,7.7,64.1,50.5,35.8,33.1,67.978,78.542,82.518,1.518,"2,016",-1.4,-1.114,66.451,,74.4,70.1,1.136,0.95,26.934,Purdue
10,Wichita St.,111.071,88.969,0.928,25–9,25,34,48.9,44.7,37.4,45.4,14.7,23.2,31.7,23.6,66.1,49.2,42.1,32.3,32.7,11.3,8.6,56.2,48.2,38.1,37,65.861,77.002,80.021,1.873,"2,016",-0.2,0.393,27.563,,71.9,71.1,1.086,0.889,21.276,Wichita St.
