,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Baylor,125.5,89.5,0.98,7–1,7,8,52.1,48.8,23.7,32.6,14.9,23.1,36.9,30.1,67.1,50.6,50,36.5,31,10.2,12.3,54.4,52.2,36.4,33.3,67.3,76.684,79.37,1.967,"2,021",2.737,2.65,57.416,,78,75.5,1.137,0.971,46.316,Baylor
2,Gonzaga,127.4,92.4,0.976,7–1,7,8,60.7,48.1,31.8,22.4,15.8,14.9,27.8,24.1,70.3,62.2,48.2,38.7,31.9,5.3,6.7,60.1,45.2,36.7,32.3,72,78.108,80.58,1.528,"2,021",1.104,1.65,80.761,,72.7,70.8,1.194,0.991,44.765,Gonzaga
3,Illinois,117.7,87.3,0.969,4–1,4,5,53.6,47.1,34.3,31.1,15.4,14.8,29.6,19,69.9,55.9,46.6,31.1,32.2,6.8,8.3,57,50.4,24.4,30.4,71.8,76.996,80.548,1.627,"2,021",-1.533,-2.35,73.109,,71.2,73.9,1.114,0.969,44.687,Illinois
4,Loyola Chicago,117.4,87.9,0.965,5–1,5,6,55.2,48.5,31,21.9,18.1,18.9,30.9,19.4,61.6,51.3,48.4,41,32.5,7.8,7.8,70.1,44.4,37.7,27.5,62.7,76.146,79.589,2.231,"2,021",0.896,1.3,11.054,,74,80.3,1.118,0.936,32.094,Loyola Chicago
5,Alabama,120.5,90.7,0.963,5–1,5,6,52.9,45.9,22.7,20.6,17.2,17.2,39.5,30.7,69.3,54.5,46.9,33.9,29.5,12.8,15.5,46.1,43.3,44.6,37.5,71.2,77.695,80.152,1.841,"2,021",-0.027,-0.371,70.27,,66.7,72.5,1.13,0.977,38.434,Alabama
6,Oregon St.,119.6,90.1,0.963,6–1,6,7,53,42.2,41.3,39,19.4,14.6,30.6,33.5,65.2,47.8,44,41.2,26.4,10.8,8.3,58.4,53.3,37.2,41.9,67.1,78.244,81.224,2.035,"2,021",2.364,2.486,34.182,,76.8,69.1,1.084,0.994,52.594,Oregon St.
7,UCLA,120.8,92.2,0.957,5–2,5,7,51.3,49.4,29.8,31.6,12.4,16.8,31.2,27.8,64.1,49.3,52.6,37,28.8,8.5,7.7,46.2,51.4,31.2,33.8,63.2,77.295,79.632,1.376,"2,021",2.954,3.393,82.595,,69.8,66.2,1.108,1.021,48.86,UCLA
8,Syracuse,122.2,93.4,0.957,3–2,3,5,57.5,46,25.2,21.6,17.5,15.9,25.2,37,64,51.5,43.4,42.4,32.6,16.3,9.7,57.6,64.7,49.6,46.5,66.9,78.118,80.591,1.527,"2,021",1.33,1.393,64.21,,76.1,76.1,1.116,1.051,50.763,Syracuse
9,Houston,120.8,93.3,0.951,7–1,7,8,50.1,46.7,30.5,34.7,15.1,17.3,41,28.6,62.9,48.9,44.5,34.5,33.3,15.2,8.7,58.8,58.9,42,38.8,63,77.106,79.302,1.843,"2,021",1.052,1.629,57.911,,72.4,62.8,1.157,0.957,34.157,Houston
10,USC,117.9,91.2,0.95,4–2,4,6,56.9,44,33.3,23.6,16.6,14,25.5,33.3,66.5,52.9,41.8,44.1,32.1,10.5,5.8,48.8,52,29.8,34.4,66.6,79.377,82.589,1.679,"2,021",1.015,1.921,47.985,,67.5,80.4,1.122,1.004,48.817,USC
11,St. Bonaventure,114.4,89,0.947,3–1,3,4,47,43.2,25.1,31.4,13.2,17,32,30.6,66.1,50.6,42.3,26.5,30,14.8,9.1,53.3,49.4,33.6,34.9,65.1,77.32,79.475,1.928,"2,021",-0.635,-0.6,0.359,,79,76.4,1.063,0.957,34.131,St. Bonaventure
12,Michigan,114.7,89.4,0.946,4–2,4,6,52.4,45.4,34.5,22.3,14.9,13.9,30.4,24.3,65.8,51.6,45.1,36,30.7,8.2,10.5,69.5,45.5,34.2,31.8,66.2,77.889,82.229,2.078,"2,021",0.466,-0.35,66.856,,78.3,77.5,1.112,0.98,43.304,Michigan
13,Wisconsin,117.2,91.8,0.943,2–2,2,4,54.2,47.5,17.6,23.1,16.6,12.3,24.2,29.3,64.8,45.3,47.7,45.5,31.4,12.2,12.9,55.3,57.7,38.8,28.9,63.6,77.973,81.638,2.316,"2,021",-0.023,0.4,55.41,,85,78.6,1.08,1.057,54.587,Wisconsin
