Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Gonzaga,118.504,87.249,0.971,37–2,37,39,56.6,41.1,39,26.9,16.2,17.1,30,26.2,70.8,56.3,40,38.2,29,11.2,7.8,51.8,43.2,32.8,32.1,70.188,78.513,82.62,1.78,"2,017",1.76,1.65,68.782,,71.7,65.8,1.167,0.868,23.643,Gonzaga
2,North Carolina,121.639,92.43,0.959,32–7,32,39,51.7,48.1,34.3,31.6,16.2,18.6,41.3,25,72.4,51,46.3,35.5,33.9,9.6,9.8,59.2,46.9,30.3,39.3,71.45,77.937,81.405,1.917,"2,017",3.02,2.65,88.126,,70.2,72.7,1.155,0.975,37.648,North Carolina
3,Villanova,122.905,93.53,0.959,32–4,32,36,57.5,48.1,35,22.1,17.1,20.1,30.2,27.8,65.5,59.2,49.1,36.9,31.1,9,6.6,52.3,57,43.3,40,64.277,77.636,79.413,1.845,"2,017",-1.57,-2.35,75.837,,79,70.3,1.178,0.956,30.662,Villanova
4,Florida,117.336,90.002,0.955,27–9,27,36,51.6,45.8,40.2,34,16.9,21,32.1,29.5,70.1,50.3,45.7,35.9,30.5,12,7.5,47.3,40.9,36.6,31.3,68.89,77.266,80.777,1.974,"2,017",1.03,1.464,70.37,,72.9,70.6,1.101,0.94,35.711,Florida
5,Kentucky,119.074,92.296,0.949,32–6,32,38,52.9,47.5,40.9,33.5,15.7,19.2,33.5,27.7,74.2,52.9,48.3,35.3,30.6,13,7.7,51.6,44,31.6,33.3,72.378,77.433,81.549,0.935,"2,017",0.69,0.629,86.539,,70.4,67.6,1.14,0.96,32.886,Kentucky
6,West Virginia,116.017,90.288,0.947,28–9,28,37,51.3,48.8,38.9,42.5,17,27.6,37.9,31.9,71.4,49.8,46.5,36.2,35.3,14.2,9,57.3,53.5,32.5,36.3,70.853,77.619,80.701,1.953,"2,017",-0.13,0.464,43.642,,68.5,68.3,1.123,0.919,34.174,West Virginia
7,Virginia,112.525,87.907,0.945,23–11,23,34,52.4,46.1,26,33.8,15.6,20.7,28.3,24.5,60.3,49.7,45.1,38.5,31.7,13.9,7.5,56.4,50.6,33,39.8,58.952,77.405,79.894,1.562,"2,017",-0.39,-0.114,71.089,,70.9,69.9,1.08,0.922,36.798,Virginia
8,Louisville,118.218,92.361,0.945,25–9,25,34,51.4,45.7,34,38.8,16,19.6,36.7,28.5,68.4,50.5,44.8,35.5,31.6,15.2,8.3,48.4,48.3,32.1,35.6,68.101,78.3,82.032,1.588,"2,017",-1.04,-1.371,71.596,,68.6,69.5,1.121,0.957,35.779,Louisville
9,Kansas,122.201,95.557,0.944,31–5,31,36,56.1,48.1,36,30,17.6,18.6,34.1,29.7,71.2,53.6,45.3,40.4,35.6,11.2,9.4,54.5,49.9,35.9,34.2,69.998,77.174,80.91,1.763,"2,017",0.25,-0.35,75.629,,67.8,71.5,1.155,0.998,36.579,Kansas
10,Duke,122.793,96.547,0.941,28–9,28,37,54.8,47.4,39.3,31.2,16.3,17.3,31.7,29.8,69.8,53.5,48.9,37.9,29.3,10.9,6.8,47.5,46.7,38.3,28.8,68.285,78.431,80.697,1.414,"2,017",-1.01,-1.371,94.782,,76.2,71,1.158,1.005,37.216,Duke
11,SMU,120.876,95.078,0.941,30–5,30,35,54.6,46,36,24.6,16.9,18.3,37.2,26.4,63.7,51,44.1,40.6,32.1,11.1,8.6,62,56,36.4,45.5,63.404,78.474,79.495,1.875,"2,017",-1.59,-1.079,64.748,,69.6,69.2,1.166,0.942,22.283,SMU
12,Wichita St.,118.061,93.193,0.938,30–5,30,35,54.2,43.8,40.4,35.1,16.2,19.3,34.2,24.2,69.2,50.7,42,40.2,31.2,11.6,8.9,58.8,49.5,36.6,38.6,68.618,77.722,80.469,1.45,"2,017",-0.52,0.379,40.472,,72.9,69.8,1.168,0.904,19.015,Wichita St.
13,Michigan,124.006,98.576,0.933,26–12,26,38,57,51.9,30.1,27.2,14.2,19.5,24.7,30,63.7,56.3,50,38.5,37.8,7.4,8.3,52.8,45.8,45.1,28.8,62.596,78.154,81.791,2.007,"2,017",1.03,1.093,64.639,,77.9,68.3,1.166,1.032,34.09,Michigan
14,Saint Mary's,118.869,94.723,0.932,29–5,29,34,57.8,45.3,27.8,26.6,17.5,15.3,33.1,21.9,61.2,56.9,45.4,39.4,30,8.5,7.8,63.1,40.3,41.4,27.7,59.867,77.576,81.393,1.957,"2,017",-0.46,0.093,24.566,,74.5,69.1,1.177,0.939,19.671,Saint Mary's
15,Oregon,118.492,94.82,0.928,32–6,32,38,55.5,46.4,34.4,26.3,17.1,19.3,32.4,29.5,68.7,54.5,46.1,38,31.2,17,9.7,56.1,49.1,38.9,37.6,67.05,77.427,81.033,1.779,"2,017",1.89,2.136,56.758,,70.8,71.9,1.139,0.959,27.301,Oregon
16,Cincinnati,115.977,92.952,0.927,30–6,30,36,52,45.2,32.5,29.1,15.3,20.2,35.5,29.4,65.1,52.1,41.4,34.5,34.4,14.3,8.3,57.7,52.9,36.1,37,64.009,77.674,80.505,1.72,"2,017",-0.1,-0.079,72.275,,68.6,73.6,1.133,0.935,24.543,Cincinnati
17,Purdue,117.253,94.131,0.926,27–8,27,35,55.7,47.7,33.3,22.9,18.3,16.6,30.8,24.4,70,52.7,46.6,40.3,33.2,6.1,8.6,65.3,50,38.3,34,69.052,76.997,81.841,1.555,"2,017",0.48,0.464,67.524,,75.7,70.7,1.127,0.967,31.377,Purdue
18,Iowa St.,120.604,97.241,0.922,24–11,24,35,55,49,27.6,25.6,14.1,19.5,25.7,31.6,70.6,51.8,47.5,40,34.6,8.9,9.1,53.6,51.9,39.3,35.9,68.203,76.814,78.437,2.508,"2,017",-0.53,-0.114,54.193,,70,70.4,1.126,1.006,39.447,Iowa St.
19,Wisconsin,115.327,93.088,0.922,27–10,27,37,52.1,47.5,32.9,28,17,19.5,35.9,25.9,64.4,51.1,43.1,35.9,37.6,9.9,8.5,51.8,45.7,36.9,33.5,63.017,77.532,80.762,2.056,"2,017",0.82,1.3,56.744,,64.4,73.9,1.109,0.956,33.725,Wisconsin
20,Oklahoma St.,127.377,103.36,0.917,19–13,19,32,54,53.2,37.4,45.4,18.2,20.3,38.3,31.9,72.3,50.4,52.4,40.3,36.4,8.2,10.8,50.9,51.7,35.7,34.9,71.586,76.346,80.027,1.534,"2,017",-0.92,-0.621,54.425,,78.8,72.5,1.178,1.082,39.361,Oklahoma St.
21,Notre Dame,120.038,97.424,0.917,26–10,26,36,53.6,49.1,28.6,26.7,14,18.7,27.3,30.8,67.7,50.9,48.2,38.4,33.8,9.7,11.4,57.8,51.1,40.6,34.8,66.924,77.4,79.623,2.068,"2,017",-0.02,-0.114,65.922,,80,73.7,1.139,1.021,34.834,Notre Dame
22,Baylor,117.004,94.972,0.917,26–8,26,34,52.5,46.1,33.9,30.1,20.6,17.1,39.8,29.4,65.1,52.2,45,35.3,32.2,13.1,9.7,59.2,58.1,32.8,34.7,63.734,77.785,82.109,1.908,"2,017",0.28,0.136,43.215,,71.9,72.5,1.105,0.983,36.675,Baylor
23,UCLA,123.53,100.495,0.915,31–5,31,36,59.8,48.7,26.8,25.4,15.1,15.8,29.1,28.6,74.1,59.1,45.3,40.6,36.5,12.5,4.4,63.7,46.8,37.6,35.8,73.281,78.441,82.349,1.438,"2,017",0.11,0.136,77.967,,73.8,67.9,1.211,1.019,25.767,UCLA
