Rk_x,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Rk_y
1,Gonzaga,124.361,91.007,0.973,33–4,33,37,59.0,44.2,35.3,25.9,14.9,19.0,31.5,26.8,71.4,61.4,43.4,36.3,30.4,13.5,5.8,56.2,41.4,35.3,34.9,70.487,78.212,80.475,1.839,2021,-0.434,-0.35,55.473,76.1,69.7,1.228,0.909,23.968,2.0
2,Virginia,123.773,91.097,0.971,35–3,35,38,55.2,44.7,29.1,26.3,14.7,17.5,30.4,25.4,60.6,52.5,45.7,39.5,28.9,13.0,8.3,55.9,43.3,39.5,42.5,59.2,77.203,81.011,1.552,2021,2.584,2.65,73.381,74.4,66.6,1.167,0.916,36.046,46.0
3,Texas Tech,115.935,86.419,0.967,31–7,31,38,53.5,43.0,32.9,36.6,17.7,22.8,27.4,28.7,67.3,52.8,41.9,36.5,29.7,15.4,7.0,50.3,49.5,36.0,40.3,65.964,76.923,79.206,1.87,2021,2.271,3.136,47.191,73.2,69.4,1.074,0.878,34.669,19.0
4,Michigan,115.323,86.767,0.963,30–7,30,37,51.6,44.1,27.5,24.1,13.9,18.0,24.7,24.8,65.1,51.8,44.3,34.2,29.1,10.3,9.6,54.4,45.8,39.9,30.1,64.442,77.708,81.075,1.42,2021,-0.537,-0.371,80.432,70.1,66.3,1.068,0.895,33.94,12.0
5,Duke,119.642,90.378,0.962,32–6,32,38,53.6,45.0,33.2,24.0,17.5,19.4,35.6,29.5,73.1,58.0,45.0,30.8,29.9,16.4,8.0,52.4,49.8,37.3,35.0,72.151,78.656,80.832,0.687,2021,0.178,-0.35,88.931,68.6,69.6,1.128,0.925,38.368,
6,Michigan St.,120.609,92.258,0.956,32–7,32,39,55.2,43.9,33.6,27.5,18.5,14.9,33.9,26.4,67.9,54.3,41.9,37.8,31.6,13.7,8.4,66.8,51.9,37.8,37.2,67.136,77.545,79.804,1.768,2021,1.258,1.629,70.057,75.3,67.9,1.135,0.951,38.557,47.0
7,North Carolina,120.822,92.617,0.955,29–7,29,36,52.9,48.9,30.2,28.4,17.2,18.3,35.3,22.8,75.8,52.1,47.9,36.2,33.5,9.5,10.9,60.6,54.2,35.8,43.8,74.505,78.502,80.814,1.759,2021,-0.837,-1.35,76.654,74.3,67.9,1.128,0.963,36.704,27.0
8,Kentucky,118.256,90.965,0.953,30–7,30,37,53.0,46.6,41.9,26.8,18.6,17.9,36.8,25.5,67.2,52.9,43.6,35.4,34.3,13.4,7.8,51.2,47.9,29.6,38.6,65.373,78.06,80.796,0.592,2021,0.392,0.629,95.376,73.9,70.5,1.121,0.956,35.019,
9,Purdue,123.492,95.571,0.95,26–10,26,36,53.6,49.0,29.9,31.7,15.8,18.6,34.5,27.0,65.9,51.5,47.2,37.4,34.2,12.6,11.6,53.6,53.5,45.5,43.2,65.538,78.269,81.609,1.565,2021,0.573,1.136,56.197,71.9,73.2,1.147,1.007,36.876,61.0
10,Tennessee,123.523,96.501,0.945,30–6,30,36,55.3,48.1,33.3,34.9,15.8,18.0,31.6,30.2,69.1,55.4,44.7,36.7,35.4,14.8,6.4,59.5,51.3,32.2,40.2,67.333,77.811,80.279,2.179,2021,-0.274,-0.371,55.685,75.8,65.5,1.165,1.003,34.459,35.0
11,Houston,116.59,91.622,0.941,33–4,33,37,52.1,42.5,31.6,37.3,16.5,18.2,34.4,26.0,67.2,51.3,43.0,35.5,27.9,13.4,6.4,55.6,49.9,42.6,41.1,65.754,76.192,78.923,1.802,2021,-0.059,0.136,36.791,70.3,69.4,1.121,0.909,23.237,9.0
12,Auburn,122.02,96.411,0.938,29–10,29,39,54.4,51.7,30.9,36.4,16.8,24.6,31.6,32.8,68.7,51.7,51.4,38.1,34.8,15.4,12.1,52.4,52.2,49.6,43.4,67.826,76.563,79.991,2.174,2021,2.247,2.886,57.754,71.3,71.0,1.141,0.998,35.933,
13,Virginia Tech,118.63,94.537,0.932,26–9,26,35,55.6,49.0,31.9,26.3,17.3,21.6,29.6,27.2,64.4,52.9,49.0,39.4,32.7,8.4,9.9,59.5,56.5,43.7,49.9,63.632,76.946,79.227,1.91,2021,0.082,0.464,66.436,76.1,72.2,1.135,0.958,31.378,48.0
14,Kansas St.,108.776,88.974,0.91,25–9,25,34,49.4,48.2,30.6,30.7,17.4,22.8,28.3,25.7,65.0,48.9,49.0,33.4,31.4,7.7,8.2,57.6,54.5,38.4,42.9,63.417,76.626,79.942,2.149,2021,-1.429,-1.536,48.118,66.7,67.4,1.012,0.917,32.209,
15,Florida St.,112.503,92.049,0.91,29–8,29,37,50.5,47.2,35.8,35.7,18.9,20.3,32.8,27.0,69.4,50.9,45.3,33.2,33.5,12.7,8.4,49.5,43.8,37.7,38.8,68.509,78.662,81.864,1.929,2021,0.429,0.464,59.895,74.4,72.2,1.066,0.956,33.275,22.0
16,Iowa St.,119.126,97.807,0.906,23–12,23,35,54.7,48.4,30.0,23.6,16.3,18.8,28.3,30.1,68.6,55.0,47.1,36.2,33.6,12.5,7.4,54.1,49.9,39.6,39.2,67.601,77.656,79.614,1.485,2021,-1.14,-1.079,56.016,73.2,71.7,1.122,0.994,33.279,
17,Kansas,113.732,93.676,0.903,26–10,26,36,52.6,47.8,32.5,27.8,18.8,18.2,30.1,27.9,70.6,52.6,46.0,35.0,33.6,10.9,8.9,48.3,52.7,34.9,41.8,69.963,77.524,80.449,1.073,2021,-0.426,-0.536,89.423,70.5,68.6,1.062,0.984,38.579,53.0
18,LSU,118.691,97.853,0.902,28–7,28,35,51.2,49.9,37.1,33.1,17.9,20.1,36.7,30.8,70.5,52.9,49.4,31.9,33.7,11.8,7.9,45.7,44.4,34.2,40.0,69.714,77.191,80.572,1.102,2021,0.447,0.136,66.287,75.2,69.0,1.114,1.012,31.682,15.0
19,Wisconsin,108.965,89.839,0.902,23–11,23,34,51.1,45.2,27.3,25.8,14.6,17.2,24.5,26.5,64.8,49.7,44.1,35.9,31.5,11.0,10.8,49.2,45.5,34.6,35.0,63.444,77.318,81.283,1.84,2021,-1.071,-1.114,59.597,64.8,66.8,1.04,0.936,37.002,13.0
20,Louisville,113.707,94.265,0.896,20–14,20,34,50.9,46.7,34.9,32.0,17.5,16.1,29.1,25.9,68.4,50.6,46.0,34.2,32.0,7.6,10.6,53.6,47.9,43.7,37.2,67.089,76.75,80.459,1.928,2021,-1.018,-0.907,53.581,77.7,69.5,1.074,0.985,35.412,
21,UCF,113.589,94.39,0.894,24–9,24,33,52.9,45.4,45.3,29.2,17.6,18.0,29.5,29.6,67.1,52.0,44.5,36.5,31.3,12.6,8.1,53.6,53.5,35.6,38.4,64.86,78.779,83.748,2.283,2021,0.227,0.4,28.974,64.9,65.0,1.073,0.958,24.931,
22,Mississippi St.,117.685,97.982,0.892,23–11,23,34,54.6,50.3,32.7,32.1,19.2,19.5,34.7,29.6,68.5,53.4,48.4,37.7,35.7,14.0,10.1,51.2,50.6,39.1,36.6,67.535,77.708,81.887,1.657,2021,-1.222,-1.114,82.586,71.7,71.5,1.12,1.021,31.934,
23,Florida,111.134,92.853,0.888,20–16,20,36,49.8,48.1,29.9,33.6,17.9,22.4,30.6,32.2,64.6,49.5,48.5,33.4,31.6,11.0,9.1,51.0,48.3,43.3,38.1,62.757,77.265,79.585,1.39,2021,0.216,0.379,79.849,72.1,69.3,1.038,0.973,35.863,55.0
24,Wofford,117.308,98.155,0.886,27–5,27,32,57.5,49.9,27.8,31.8,16.1,19.1,31.8,25.2,67.9,53.9,50.6,41.4,32.6,8.9,7.5,49.9,48.4,43.9,39.9,65.606,76.813,80.659,1.792,2021,-0.02,0.093,1.063,71.0,70.9,1.176,0.984,20.688,
25,Cincinnati,113.15,94.975,0.882,28–7,28,35,49.0,48.6,37.6,30.5,16.0,20.9,37.4,29.3,64.9,47.6,45.1,34.5,35.5,14.5,9.4,53.4,50.7,33.3,42.8,63.523,76.833,80.351,1.891,2021,-0.915,-0.907,51.633,70.4,66.3,1.098,0.959,24.958,
26,VCU,105.572,88.688,0.881,25–8,25,33,50.1,43.5,35.7,36.6,20.0,23.4,31.0,30.6,69.0,53.1,43.8,30.5,28.5,12.2,7.9,54.9,50.7,41.2,33.2,68.21,77.446,79.432,1.496,2021,-0.641,-0.7,39.794,70.1,69.0,1.021,0.891,18.461,30.0
27,Maryland,112.399,94.511,0.88,23–11,23,34,51.4,45.9,32.8,26.6,19.4,14.1,34.1,24.8,66.6,50.8,44.7,34.9,31.9,13.4,9.8,52.1,52.1,37.0,39.4,66.195,77.8,81.101,0.692,2021,-0.128,-0.079,78.823,74.3,72.3,1.073,0.985,33.882,26.0
