Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Villanova,132.1,93.6,0.981,8–1,8,9,63.4,49.5,32.6,23.9,15.7,20.5,24.6,31.7,65,57.9,47.2,48.6,35.6,9.8,7,51,49.5,36.4,38,64.2,77.358,80.028,1.709,"2,016",2.7,3.629,81.555,,79.4,62.3,1.24,0.994,47.793,Villanova
2,Kansas,119.5,86.8,0.975,6–1,6,7,55.9,44.2,39.1,37.5,20,16.2,31.4,24.9,70.6,56.9,45.8,35.7,27.4,10.6,7.3,58.9,43.8,29.6,33.1,71.4,77.281,80.733,1.863,"2,016",0,-0.35,80.776,,77,69.3,1.118,0.945,44.483,Kansas
3,North Carolina,131.1,95.6,0.974,8–1,8,9,55.5,49.2,31.3,32,15.2,17.4,42.9,30.9,65.8,54.3,46.5,39.2,36.2,12.5,6.5,53.1,36.9,26.2,35,68.4,77.842,81.623,1.854,"2,016",1.9,1.65,90.938,,78.9,69.8,1.252,1.032,44.509,North Carolina
4,Virginia,120.9,90,0.968,5–2,5,7,55.7,49,28.1,31.1,14.2,16.2,28,21.8,62.5,54.6,47.6,38.8,35,11.8,5.6,59.9,41.4,30.1,28.9,62.3,77.777,80.253,1.985,"2,016",-0.1,-0.35,74.302,,71.3,75.7,1.157,0.992,43.727,Virginia
5,Gonzaga,126.9,94.5,0.967,5–1,5,6,58,46.5,30.6,27,18.2,16.2,35.4,31.6,65.9,55.3,42.4,41.8,36,10,9.8,48.2,40.6,36.2,35.1,66.2,78.445,82.216,1.788,"2,016",0.8,1.393,58,,81.6,71.9,1.202,1.012,37.405,Gonzaga
6,Oregon,122.7,93.6,0.957,6–1,6,7,53,48.2,40.9,32.4,13.8,19.3,35.9,30.5,68.3,52.8,43.8,35.6,37.1,15.2,6.7,45.5,46.4,34,37.1,67.6,78.112,80.387,1.495,"2,016",0.7,-0.35,51.771,,68.2,72,1.184,1.001,39.738,Oregon
7,Purdue,117.1,90,0.954,2–2,2,4,54.1,44.7,33.2,25.6,16.2,12.2,27.3,23.5,65.4,54.7,44.8,35.4,29.7,11.7,6,63.1,48,35.3,35.8,67.9,78.542,82.518,1.518,"2,016",-1.4,-1.114,66.451,,76.6,63.1,1.114,0.963,34.775,Purdue
8,Kentucky,128.8,99.7,0.95,4–1,4,5,56.4,45.5,36.4,34.4,15.1,19.2,35.5,37.8,66.1,53.3,44.7,41.7,31.4,14.7,10.3,43.8,38.3,33,34.1,67.3,76.716,81.335,0.956,"2,016",-0.8,-0.536,92.397,,79.2,71.8,1.217,1.022,34.942,Kentucky
9,Stephen F. Austin,119.5,93.1,0.946,3–1,3,4,48.6,48.1,44.2,40.8,10.2,26.6,35.1,36.2,68.5,51,51.1,29.8,28.2,8.1,7.7,62.6,46.1,37.8,34.5,68.3,74.908,78.024,2.171,"2,016",0.3,0.836,0.458,,80.9,73.8,1.208,0.949,26.427,Stephen F. Austin
10,Seton Hall,110.6,86.2,0.946,3–1,3,4,50.9,45.6,43.4,34.5,22.5,20.1,32.9,33.9,73.4,51.9,44.3,32.4,31.9,9.5,6.5,45.2,49,32.5,37.3,72.8,77.746,80.19,1.139,"2,016",-1,-1.079,62.243,,57.6,70.1,0.984,0.991",57.351,Seton Hall
11,Oklahoma,120.5,95.5,0.936,5–2,5,7,53.2,51.9,33.4,31.1,21,19.4,33.5,35.1,69.3,50.2,51.6,38.4,35,12.7,7.6,50,49.2,40.9,39.3,68.9,77.014,80.385,2.158,"2,016",1.8,1.629,57.714,,70.1,69,1.074,1.072,51.932,Oklahoma
